# VanillaKoreanCore NPC dictionary v1.0.0 - exact English name to Korean display name
# Generated by matching creature entry IDs. UTF-8, TAB separated.
"Auntie" Bernice Stonefield	숙모 버니스 스톤필드
Moorat Longstride	무라트 롱스트라이드
Mor Grayhoof	모르 그레이후프
Mor Grayhoof Transformation Visual	모르 그레이후프
Mor Grayhoof Trigger	모르 그레이후프 트리거
Mor'Ladim	모르라딤
Mor'rogal	모르로갈
Mor'vek	모르벡
Mor'zul Bloodbringer	모르줄 블러드브링어
Moranna Rosenberg	모란나 로젠버그
Morbent Fel	모벤트 펠
Mordresh Fire Eye	불꽃눈 모드레쉬
Moren Riverbend	모렌 리버벤드
Morg Gnarltree	모그 나알트리
Morgaine the Sly	교활한 도적 몰게니
Morgan	모건
Morgan Ladimore	모건 래디모어
Morgan Maxwell	모건 맥스웰
Morgan Pestle	모건 페슬
Morgan Stern	모건 스턴
Morgan the Collector	징세관 모건
Morgan the Storm	폭풍의 모건
Morganth	모건스
Morganus	모르가누스
Morgg Stormshot	모르그 스톰샷
Morgrim Firepike	모그림 파이어파이크
Morgum	모르굼
Morhan Coppertongue	모한 카퍼텅
Morin Cloudstalker	모린 클라우드스토커
Morja	몰자
Morley Bates	몰리 베이츠
Morley Eberlein	몰리 이버레인
Morloch	모를로취
Moroes	모로스
Moroves	모로베스
Morphaz	몰파즈
Morpheus Ribcage	몰페우스 립케이지
Morridune	모리듄
Morris Lawry	모리스 라우리
Mort Gallspewer	몰트 갈르스페엘
Morta'gya the Keeper	문지기 몰타기아
Mortar	곡사포 포탄
Mortar Sergeant Stouthammer	포병대장 스타우트해머
Mortar Team Advanced Target Dummy	박격포부대 고급 표적 허수아비
Mortar Team Target Dummy	박격포부대 표적 허수아비
Mortimer Montague	모르티머 몬테그
Mortimer Stansfield	모티머 스탠스필드
Mosarn	모사른
Mosh'Ogg Brute	모쉬오그 투사
Mosh'Ogg Butcher	모쉬오그 도살꾼
Mosh'Ogg Lord	모쉬오그 우두머리
Mosh'Ogg Mauler	모쉬오그 싸움꾼
Mosh'Ogg Shaman	모쉬오그 주술사
Mosh'Ogg Spellcrafter	모쉬오그 마법사
Mosh'Ogg Warmonger	모쉬오그 전사
Mosh'Ogg Witch Doctor	모쉬오그 의술사
Moss Stalker	이끼땅거미
Mossflayer Cannibal	이끼껍질 식인종
Mossflayer Scout	이끼껍질 정찰병
Mossflayer Shadowhunter	이끼껍질 어둠사냥꾼
Mossflayer Zombie	이끼껍질 좀비
Mossheart	모스하트
Mosshide Alpha	이끼가죽 우두머리
Mosshide Bruiser	이끼가죽 투사
Mosshide Brute	이끼가죽 투사
Mosshide Fenrunner	이끼가죽 길잡이
Mosshide Gnoll	이끼가죽 놀
Mosshide Miner	이끼가죽 미넬
Mosshide Mistweaver	이끼가죽 안개마술사
Mosshide Mongrel	이끼가죽 싸움꾼
Mosshide Mystic	이끼가죽 비술사
Mosshide Overseer	이끼가죽 감독관
Mosshide Scavenger	이끼가죽 청소부
Mosshide Shaman	이끼가죽 주술사
Mosshide Trapper	이끼가죽 덫사냥꾼
Mosshoof Courser	덩치 큰 이끼발굽순록
Mosshoof Runner	작은 이끼발굽순록
Mosshoof Stag	이끼발굽순록
Mossy Bloodbeast	못시 브르우드브이스트
Mot Dawnstrider	모트 돈스트라이더
Motega Firemane	모테가 파이어메인
Moth	나방
Mother Fang	여왕 굴거미
Mother Mistbark	모스엘 안개껍질
Mother Smolderweb	여왕 불그물거미
Mother Tanya	어머니 타냐
Motley Garmason	모틀리 가마슨
Motsog Kegsipper	못속 켁십펠
Mottled Boar	점박이멧돼지
Mottled Drywallow Crocolisk	얼룩무늬 늪지악어
Mottled Raptor	줄무늬랩터
Mottled Razormaw	무쇠턱 줄무늬랩터
Mottled Red Raptor	붉은 점박이 랩터
Mottled Screecher	긴송곳니 줄무늬랩터
Mottled Scytheclaw	갈퀴발톱 줄무늬랩터
Mottled Worg	점박이 검은늑대
Mountain Boar	산돼지
Mountain Buzzard	산악대머리수리
Mountain Cougar	산지퓨마
Mountain Lion	산사자
Mountain Yeti	산악 설인
Mountaineer Angst	산악경비대 앙스트
Mountaineer Barleybrew	산악경비대 발리브루
Mountaineer Barleycrest	산악경비대 발레익렛트
Mountaineer Barn	산악경비대 바른
Mountaineer Bludd	산악경비대 블루트
Mountaineer Boombellow	산악경비대 붐벨로
Mountaineer Brokk	산악경비대 브로크
Mountaineer Cobbleflint	산악경비대 코블플린트
Mountaineer Cragg	산악경비대 크라그
Mountaineer Dalk	산악경비대 달크
Mountaineer Dokkin	산악경비대 도킨
Mountaineer Dolf	산악경비대 돌프
Mountaineer Droken	산악경비대 드로켄
Mountaineer Fazgard	산악경비대 파즈가르트
Mountaineer Flint	산악경비대 플린트
Mountaineer Ganin	산악경비대 가닌
Mountaineer Granitebeard	산악경비대 그라니텝이르드
Mountaineer Gravelgaw	산악경비대 그래블고
Mountaineer Grugelm	산악경비대 그루겔름
Mountaineer Gwarth	산악경비대 그워스
Mountaineer Haggil	산악경비대 하길
Mountaineer Haggis	산악경비대 하기스
Mountaineer Hammerfall	산악경비대 함메르팔
Mountaineer Harn	산악경비대 하른
Mountaineer Janha	산악경비대 얀하
Mountaineer Kadrell	산악경비대 카드렐
Mountaineer Kalmir	산악경비대 칼미르
Mountaineer Kamdar	산악경비대 캄다르
Mountaineer Langarr	산악경비대 랑가르
Mountaineer Lightboots	산악경비대 리그트브우트스
Mountaineer Luxst	산악경비대 룩스트
Mountaineer Modax	산악경비대 모닥스
Mountaineer Morlic	산악경비대 몰릭
Mountaineer Morran	산악경비대 모란
Mountaineer Naarh	산악경비대 나아르
Mountaineer Ozmok	산악경비대 오즈모크
Mountaineer Pebblebitty	산악경비대 페블비티
Mountaineer Rharen	산악경비대 라렌
Mountaineer Rockgar	산악경비대 록가르
Mountaineer Roghan	산악경비대 로그한
Mountaineer Steelwind	산악경비대 스트이르인드
Mountaineer Stenn	산악경비대 슈텐
Mountaineer Stormpike	산악경비대 스톰파이크
Mountaineer Swarth	산악경비대 스와르트
Mountaineer Thalos	산악경비대 탈로스
Mountaineer Thar	산악경비대 타르
Mountaineer Truthforge	산악보병 트루스포지
Mountaineer Tyraw	산악경비대 티라우
Mountaineer Uthan	산악경비대 우단
Mountaineer Veek	산악경비대 비크
Mountaineer Wallbang	산악경비대 월뱅
Mountaineer Wuar	산악경비대 부아르
Mountaineer Yuttha	산악경비대 유타
Mountaineer Zaren	산악경비대 자렌
Mountaineer Zwarn	산악경비대 즈바른
Mounted Ironforge Mountaineer	아이언포지 산악기병대
Mounted Reindeer	순록
Mournful Apparition	슬픈 환영
Mouse	생쥐
Mouth of Kel'Thuzad	리치 왕의 전령
Mouth Tentacle Mount Visual	촉수
Moxie Steelgrille	목시 스틸그릴
Mr. Duckling	용아귀 황천의 비룡
Mr. Goose	호드 공중수비대 올가미 철사 - 지붕
Mr. Mistletoe	미슬토 씨
Mr. Shang	므르. 시아응
Mr. Smite	미스터 스마이트
Mr. Tails	미스터 테일즈
Mr. Twinkle	트윙클 씨
Mr. Wiggles	꿀꿀이
Mr.Freeze	미스터프리즈
Mrs. Winters	미시즈 윈터스
Mu'ju	무주
Mu'uta	무우타
Muad	무아드
Muck Frenzy	진흙프렌지
Muck Splash	그을린 오염물
Muckfin Lurker	머크핀 러커
Muckfin Murloc	머크핀 멀록
Muckfin Tidecaller	머크핀 파도소환사
Muckfin Trapper	머크핀 트래퍼
Muckgill Hunter	먹길 사냥꾼
Muckgill Murloc	먹길 멀록
Muckgill Oracle	먹길 예언자
Muckgill Tidehunter	먹길 파도사냥꾼
Muckhowl	먹하울
Muckrake	무크라케
Muckreef Crawler	머크리프 크롤러
Muckshell Clacker	딸깍이 진흙껍질마크루라
Muckshell Makrura	진흙껍질 마크루라
Muckshell Pincer	뾰족뿔 진흙껍질마크루라
Muckshell Razorclaw	칼날집게 진흙껍질마크루라
Muckshell Scrabbler	톱니발 진흙껍질마크루라
Muckshell Snapclaw	집게발 진흙껍질마크루라
Muculent Ooze	눅눅한 수액괴물
Mudcrush Durtfeet	머드크러쉬 더트피트
Mudduk	머덕
Mudpaw Brute	머드포 투사
Mudpaw Gnoll	머드포 그놀
Mudpaw Miner	머드포우 마이너
Mudpaw Mystic	머드포 비술사
Mudpaw Overseer	머드포 감독관
Mudpaw Scavenger	머드포 스캐빈저
Mudpaw Shell Collector	머드포우 셸 컬렉터
Mudrock Borer	굼벵이 진흙바위거북
Mudrock Burrower	등딱지 진흙바위거북
Mudrock Snapjaw	무쇠턱 진흙바위거북
Mudrock Spikeshell	뾰족껍질 진흙바위거북
Mudrock Tortoise	진흙바위거북
Mudsnout Gnoll	진흙주둥이 놀
Mudsnout Shaman	진흙주둥이 주술사
Mug'thol	무그톨
Mugglefin	우렁비늘
Muglash	머그래쉬
Muigin	무이긴
Muiredon Battleforge	뮈레돈 배틀포지
Muk B'ang	묵 브아응
Mukdrak	머크드락
Mulgore Protector	멀고어 수호병
Mulgore Trigger	멀고어 트리거
Mulgris Deepriver	멀그리스 딥리버
Mulin Snowbeard	물린 스노우비어드
Mull Thunderhorn	멀 썬더혼
Muln Earthfury	물느 지각변동
Mulverick's War Rider	멀베릭의 전투와이번
Mummified Atal'ai	미라가 된 아탈라이트롤
Mupsi Shacklefridd	뭅시 섀클프리드
Mura Runetotem	무라 룬토템
Muragus	무라구스
Murdaloc	멀달록
Murderous Blisterpaw	피에 굶주린 문둥발하이에나
Muren Stormpike	무렌 스톰파이크
Murgot Deepforge	멀고트 딥포지
Murk Slitherer	진흙비단뱀
Murk Spitter	진흙맹독뱀
Murk Thresher	늪지트레샤돈
Murk Worm	진흙미늘벌레
Murkblood	머크블러드
Murkdeep	먹구렁
Murkgill Forager	검은아가미 채집꾼
Murkgill Hunter	검은아가미 사냥꾼
Murkgill Lord	검은아가미멀록 우두머리
Murkgill Oracle	검은아가미 점쟁이
Murkgill Warrior	검은아가미 전사
Murki	머키
Murkshallow Snapclaw	집게발 검은모래톱마크루라
Murkshallow Softshell	무른껍질 검은모래톱마크루라
Murkwater Crocolisk	머크워터 크로콜리스크
Murky	머키
Murloc	멀록
Murloc Coastrunner	멀록 길잡이
Murloc Flesheater	멀록 청소부
Murloc Forager	멀록 채집꾼
Murloc Hunter	멀록 사냥꾼
Murloc Lurker	멀록 잠복꾼
Murloc Minor Oracle	멀록 수련사
Murloc Minor Tidecaller	멀록 술사
Murloc Netter	멀록 그물낚시꾼
Murloc Nightcrawler	멀록 기습꾼
Murloc Oracle	멀록 점쟁이
Murloc Raider	멀록 약탈꾼
Murloc Scout	멀록 정찰병
Murloc Shorestriker	멀록 작살사수
Murloc Streamrunner	멀록 길잡이
Murloc Tadpole	멀록 올챙이
Murloc Tidecaller	멀록 파도술사
Murloc Tidehunter	멀록 바다사냥꾼
Murloc Warrior	멀록 전사
Murndan Derth	먼단 더스
Murphy West	머피 웨스트
Murta Grimgut	무르타 그림구트
Mushgog	머쉬고그
Mushu	무슈
Mustang	머스탱
Mutanus the Devourer	걸신들린 무타누스
Mutated Croaker	무타텓 크로아켈
Mutated Grub	돌연변이 굼벵이
Mutated Venture Co. Drone	돌연변이 투자개발회사 일꾼
Mutt	뭇트
Muttering Vulture	중얼거리는 독수리
Muuran	무란
Mux Manascrambler	먹스 마나스크램블러
Muzzled Frostwolf	얼음거인
My'lanna	밀란나
Mycellakos	미켈라콧
Mydrannul	미드란눌
Myizz Luckycatch	마이즈 럭키캐치
Mylentha Riverbend	밀렌타 리버벤드
Mylini Frostmoon	말리니 프로스트문
Myolor Sunderfury	미올로 선더퓨리
Myra Tyrngaarde	마이라 티른가르데
Myranda the Hag	노파 미란다
Myrcella Moon	미르셀라 문
Myriam Moonsinger	미리암 문싱어
Myrmidon Sasz	미르미돈 사즈
Myrokos Silentform	미로코스 사일런트폼
Myrtle Longbraid	머틀 롱브레이드
Mysterious Sheep	신비한 양
Mysterious Warp Stalker	라이딩 화이트 드레이크
Mystic Guya'jin	신비로운 구아이진
Mystic Yayo'jin	비술사 야요진
Mystlash Flayer	긴꼬리 안개채찍 히드라
Mystlash Hydra	안개채찍 히드라
Mythidan	미시단
Mythrin'dir	미스린디르
Myzrael	미즈라엘
N'ribbi	엔리비
Na'va D'at	나바 드앗
Naal Mistrunner	나알 미스트러너
Nadia Geringt	나디아 게리응트
Nadia Vernon	나디아 베르논
Nadyia Maneweaver	나디야 메인위버
Naela Trance	나일라 트랜스
Naesanna Moongrace	나에산나 문그레이스
Nafien	나피엔
Nag'zehn	나그젠
Naga Explorer	나가 탐험가
Naga Siren	나가 사이렌
Nagaz	나가즈
Nagus	나구스
Nagzel Powdernose	나그젤 파우더노즈
Naire	나이레
Najak Hexxen	나자크 헥센
Najhaz the Raider	약탈자 나지하즈
Nak	나크
Nal'rak	날락
Nal'taszar	날타스자르
Nalesette Wildbringer	날레세트 와일드브링어
Nallaeth	날라에스
Nalpak	날팍
Namdo Bizzfizzle	남도 비즈피즐
Nan Mistrunner	난 미스트러너
Nancy Vishas	낸시 비샤스
Nandar Branson	난다르 브랜슨
Nannosh Tralhtar	난노시 트랄타르
Nantai Truthwind	난타이 트루스윈드
Nantar	라르단
Nanze	난제
Nara Meideros	나라 마이데로스
Nara Wildmane	나라 와일드메인
Narain Soothfancy	나라인 수스팬시
Naralex	나랄렉스
Naram Longclaw	나람 롱클로
Naraxis	나락시스
Nardstrum Copperpinch	날드스트럼 코퍼핀치
Narena	나레나
Narg the Taskmaster	현장감독 나르그
Nargal Deatheye	나르갈 데스아이
Nargatt	나르가트
Nargg	나르그
Narianna	나리안나
Narillasanz	나릴라산즈
Narj Deepslice	나르 딥슬라이스
Narkk	나르크
Narkogg the Dark	날콕그 어둠
Narm Faulk	나름 폴크
Narm Skychaser	나름 스카이체이서
Narnie	나르니
Narret Shadowgrove	나렛 섀도그로브
Nartok	나르톡
Narv Hidecrafter	나르브 하이드크래프터
Narwick Everton	나윅 에버턴
Nasnan Hillcreek	낫난 힐르크르이크
Nat Pagle	내트 페이글
Nata Dawnstrider	나타 돈스트라이더
Nataka Longhorn	나타카 롱혼
Nathan	네이선
Nathan Wolfspear	네이선 울프스피어
Nathaniel Dumah	너대니얼 두마
Nathaniel Steenwick	너대니얼 스틴윅
Nathanos Blightcaller	나타노스 블라이트콜러
Natheril Raincaller	내더릴 레인콜러
Nathok	나스옥
Nature Resistance Totem	자연 저항 토템
Nature Resistance Totem II	자연 저항 토템 II
Nature Resistance Totem III	자연 저항 토템 III
Navanir Thedal	나바니르 테달
Navigator Weebletax	나비가톨 으이브레탁
Naxiar	낙시아르
Naxxramas Acolyte	낙스라마스 수행사제
Naxxramas Combat Dummy	낙스라마스 훈련용 허수아비
Naxxramas Cultist	낙스라마스 신도
Naxxramas Follower	낙스라마스 추종자
Naxxramas Military Sub-Boss Trigger	낙스라마스 군사 서브보스 발동 조건
Naxxramas Template	낙스라마스 유령
Naxxramas Trigger	나크라마스 트리거
Naxxramas Worshipper	낙스라마스 숭배자
Naytha Grovelight	네이사 그로브라이트
Nazeer Bloodpike	나지르 블러드파이크
Nazgrel	나즈그렐
Nazgro Wacktoggle	나즈그로 왁토글
Nazjatar Shark	낫자탈 상어
Naznik Sharpshear	나즈닉 샤프시어
Nazorna	나조르나
Nazzle Moreflak	나즐 모어플랙
Neal Allen	닐 알렌
Necro Knight	해골 기사
Necro Knight Guardian	해골 기사 수호병
Necro Stalker	죽음의 동굴거미
Necrofiend	소생한 지하마귀
Necromancer	강령술사
Necromancer Reginald	강령술사 레지널드
Necropolis	죽음의 요새
Necropolis Acolyte	죽음의 요새 수행사제
Necropolis health	죽음의 요새 생명력
Necropolis Proxy	죽음의 요새 대리
Necropolis Relay	죽음의 요새 교대
Necrotic Shard	죽음의 결정
Needles Cougar	바위퓨마
Neeka Bloodscar	니카 블러드스카
Neekik Wazfinger	니킥 와즈핑거
Neema	니마
Neeru Fireblade	네루 파이어블레이드
Neevan Gubblewire	니반 거블와이어
Nefarian	네파리안
Nefarian's Troops	네파리안의 군대
Nefaru	네파루
Negolash	네골라쉬
Nekrum Gutchewer	네크룸 거트츄어
Nelly	넬리
Nelly Cogwheel	넬리 콕우이르
Nelson the Nice	친절한 넬슨
Nemasra	네맛라
Nerean Stagtree	넬이느 스탁트르이
Nergal	네르갈
Nerrist	네리스트
Nert Blastentom	네르트 블래스텐톰
Nert's Steampounder	네르트의 증기분쇄기
Nerub'enkan	네룹엔칸
Nerubian Overseer	네루비안 우두머리
Nerubling	네루비안 새끼
Nessa Shadowsong	네사 섀도송
Nessy	네시
Nether Infernal	황천 지옥불
Nether Maiden	황천의 요녀
Nether Sister	황천의 마녀
Nether Sorceress	황천의 여마법사
Nethercaller Mahlgus	네스엘칼렐 마흐르굿
Nethergarde Analyst	네더가드 분석가
Nethergarde Cleric	네더가드 성직자
Nethergarde Elite	네더가드 정예병
Nethergarde Engineer	네더가드 기술자
Nethergarde Foreman	네더가드 현장감독
Nethergarde Miner	네더가드 광부
Nethergarde Officer	네더가드 장교
Nethergarde Riftwatcher	네더가드 경비병
Nethergarde Soldier	네더가드 병사
Netherspawn Flayer	황천사냥개 벗기는 자
Netherwalker	황천의 정령
Neto the Time Weaver	네토 더 타임 위버
Newton Burnside	뉴튼 번사이드
Nez'raz	네즈라즈
Nezzliok the Dire	공포의 네즐뤼크
Nibbles	갈갈이
Nibu	니부
Niby the Almighty	전지전능한 나이비
Nicholas Atwood	니콜라스 애드우드
Nick Ford	닉 포드
Nida Winterhoof	니다 윈터후프
Niffy Goodsteel	니피 굿스틸
Night Elf Female Winter Reveler	나이트 엘프 여자 겨울맞이 축제 구경꾼
Night Elf Male Winter Reveler	나이트 엘프 남자 겨울맞이 축제 구경꾼
Night Watch Guard	어둠의 순찰대 경비병
Night Web Hatchling	밤 거미줄 새끼
Night Web Matriarch	여왕 검은그물거미
Night Web Spider	검은그물거미
Nightbane Dark Runner	파멸의어둠일족 암흑길잡이
Nightbane Shadow Weaver	파멸어둠 흑마술사
Nightbane Tainted One	파멸어둠 타락전사
Nightbane Vile Fang	파멸의어둠일족 송곳니투사
Nightbane Worgen	파멸어둠 늑대인간
Nighthaven Defender	나이트헤이븐 수호병
Nighthowl Alpha	밤울음 우두머리
Nighthowl Shadowcaster	밤울음 그림자주문술사
Nighthowl Worgen	밤울음 워겐
Nightlash	나이트래쉬
Nightmare	나이트메어
Nightmare Apparition	악몽의 환영
Nightmare Crawler	악몽 기어다니는 자
Nightmare Dreamrunner	악몽의 꿈걸음마
